year,debug
1900,3.8808373181709044e-10
1901,3.1046698545367235e-10
1902,2.587224878780603e-10
1903,2.2176213246690883e-10
1904,2.2176213246690883e-10
1905,3.2256943148313763e-10
1906,2.1362753629564476e-10
1907,1.0080729901622882e-10
1908,1.0080729901622882e-10
1909,1.0080729901622882e-10
1910,3.114033792732991e-10
1911,3.114033792732991e-10
1912,3.285271261382101e-10
1913,3.285271261382101e-10
1914,3.285271261382101e-10
1915,3.285271261382101e-10
1916,3.285271261382101e-10
1917,1.1793104588113986e-10
1918,1.1793104588113986e-10
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,1.3559399634845348e-10
1924,1.3559399634845348e-10
1925,1.3559399634845348e-10
1926,1.3559399634845348e-10
1927,1.3559399634845348e-10
1928,1.3559399634845348e-10
1929,1.3559399634845348e-10
1930,0.0
1931,1.355895237356971e-10
1932,1.355895237356971e-10
1933,1.355895237356971e-10
1934,1.355895237356971e-10
1935,1.355895237356971e-10
1936,2.499475467868503e-10
1937,2.499475467868503e-10
1938,1.1435802305115317e-10
1939,1.1435802305115317e-10
1940,1.1435802305115317e-10
1941,1.1435802305115317e-10
1942,1.1435802305115317e-10
1943,2.0183910416043157e-09
1944,2.121474860862703e-09
1945,2.5060148480169987e-09
1946,2.5060148480169987e-09
1947,2.5060148480169987e-09
1948,2.6842082128426218e-09
1949,2.948468001497316e-09
1950,9.300769598930003e-10
1951,9.129398189803137e-10
1952,1.0992673755388133e-09
1953,2.042482532311445e-09
1954,3.5789944024295598e-09
1955,4.3406039397707124e-09
1956,6.7753704234365026e-09
1957,8.11733543873824e-09
1958,1.5040795402805022e-08
1959,1.6801300795066254e-08
1960,2.3157933729375405e-08
1961,2.4984441943891918e-08
1962,2.854595315682218e-08
1963,3.2810859299356055e-08
1964,4.1153806965407314e-08
1965,4.5302998939535296e-08
1966,5.4495219257790136e-08
1967,6.275222627242069e-08
1968,8.159966569110111e-08
1969,9.465529617256965e-08
1970,1.09056360640482e-07
1971,1.1773405869267403e-07
1972,1.3619538614355925e-07
1973,1.5989505288059392e-07
1974,1.8066024105272455e-07
1975,2.0252573814819437e-07
1976,2.377160675288386e-07
1977,2.5686992444207135e-07
1978,2.832716684711808e-07
1979,3.0291861971168797e-07
1980,3.163832868072599e-07
1981,3.550251343702777e-07
1982,3.806913428304272e-07
1983,4.183093186124357e-07
1984,4.6940199841368925e-07
1985,5.271911943184802e-07
1986,5.53613529876072e-07
1987,6.085296523191833e-07
1988,6.321362856657029e-07
1989,6.789656319077559e-07
1990,6.849681670116427e-07
1991,6.852566960852917e-07
1992,6.832316574088639e-07
1993,7.018978668124223e-07
1994,7.097196511754841e-07
1995,7.419828144910363e-07
1996,7.884433768724972e-07
1997,8.835817522724807e-07
1998,9.60564493977602e-07
1999,1.1322877802350767e-06
2000,1.326747987410012e-06
2001,1.366994817025053e-06
2002,1.385671485617682e-06
2003,1.3563478741421671e-06
2004,1.3166891302976832e-06
2005,1.2583059531477505e-06
2006,1.1503965140491346e-06
2007,9.761339356373356e-07
2008,9.547402584075826e-07
