year,google
1950,5.303236641496234e-09
1951,6.6490963068766e-09
1952,6.1117811644972875e-09
1953,5.71027714795542e-09
1954,5.769736783583263e-09
1955,4.956138388578779e-09
1956,4.773647794514042e-09
1957,3.727971669460166e-09
1958,2.454079788589374e-09
1959,2.2688568404990608e-09
1960,2.0389660832747278e-09
1961,1.9901104573806704e-09
1962,1.642918999257757e-09
1963,1.4617168190130973e-09
1964,1.3787720687385985e-09
1965,1.041716827878046e-09
1966,8.825755721491341e-10
1967,1.93435016020744e-09
1968,1.9072689737077907e-09
1969,1.9918255655948514e-09
1970,1.9325918365620254e-09
1971,1.9288524824975386e-09
1972,2.0993142224590144e-09
1973,2.1900830910708588e-09
1974,1.2939157919714513e-09
1975,1.3871259934334595e-09
1976,1.3421953231380306e-09
1977,1.360513114865926e-09
1978,1.4486882804476409e-09
1979,1.6130220968437114e-09
1980,2.094144635478301e-09
1981,1.8044499466058588e-09
1982,2.2670343935438098e-09
1983,2.7572516016403726e-09
1984,2.8739804345891328e-09
1985,3.1427108772495517e-09
1986,3.005303204707742e-09
1987,2.692296631666226e-09
1988,3.3097551366267908e-09
1989,3.999905168987945e-09
1990,4.127135712548937e-09
1991,4.455977428311339e-09
1992,4.547069260801046e-09
1993,4.633753476162334e-09
1994,4.484459946242834e-09
1995,4.412401460080722e-09
1996,3.6819399909912167e-09
1997,4.2148400642665655e-09
1998,6.666292502138e-09
1999,1.03249524168498e-08
2000,1.9605492848232383e-08
2001,2.774428800985821e-08
2002,3.930204612550321e-08
2003,5.2422915278579496e-08
2004,7.264619509125428e-08
2005,8.907084872841356e-08
2006,9.908369176988192e-08
2007,1.0535879155781913e-07
2008,1.170101491254627e-07
