year,version control
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,2.889589837248455e-10
1920,2.889589837248455e-10
1921,2.889589837248455e-10
1922,2.889589837248455e-10
1923,2.889589837248455e-10
1924,2.889589837248455e-10
1925,4.012838236303448e-10
1926,1.1232483990549928e-10
1927,1.1232483990549928e-10
1928,1.1232483990549928e-10
1929,1.1232483990549928e-10
1930,1.1232483990549928e-10
1931,1.1232483990549928e-10
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,5.307440994631715e-11
1959,5.307440994631715e-11
1960,5.307440994631715e-11
1961,5.307440994631715e-11
1962,5.307440994631715e-11
1963,5.307440994631715e-11
1964,1.2764684547456843e-10
1965,7.457243552825129e-11
1966,7.457243552825129e-11
1967,7.457243552825129e-11
1968,7.457243552825129e-11
1969,7.457243552825129e-11
1970,1.4174559938494114e-10
1971,6.717316385668986e-11
1972,3.9912924552711257e-10
1973,3.9912924552711257e-10
1974,5.569420876864026e-10
1975,5.569420876864026e-10
1976,1.158117704910414e-09
1977,1.8286977646450202e-09
1978,3.416213153631783e-09
1979,3.78713539893129e-09
1980,5.069974376833589e-09
1981,6.6540484233712505e-09
1982,9.112557248463255e-09
1983,1.4096908339057888e-08
1984,1.9177051121691387e-08
1985,2.2662786504566512e-08
1986,2.9060342449887296e-08
1987,3.5349462531745046e-08
1988,4.4786549580067e-08
1989,5.335487531153506e-08
1990,6.112880056109913e-08
1991,6.964172223027682e-08
1992,7.552872207026797e-08
1993,8.892765482723267e-08
1994,9.914855070292106e-08
1995,1.0542370785872532e-07
1996,1.1430220427298212e-07
1997,1.1788241189541232e-07
1998,1.2107863105776622e-07
1999,1.345871944684924e-07
2000,1.463683198770533e-07
2001,1.5222676300449427e-07
2002,1.5895168863672942e-07
2003,1.7143093243378515e-07
2004,1.8047794623856005e-07
2005,1.8245309263420495e-07
2006,1.8431499171356336e-07
2007,1.7598530064333317e-07
2008,1.7859185419411006e-07
