year,virtual environment
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,5.307440994631715e-11
1959,5.307440994631715e-11
1960,9.920722180264566e-11
1961,2.3874867955646957e-10
1962,2.3874867955646957e-10
1963,2.7808656964469133e-10
1964,2.7808656964469133e-10
1965,2.2501215969837419e-10
1966,2.2501215969837419e-10
1967,4.4590578055344766e-10
1968,5.415899712828726e-10
1969,5.742503873212052e-10
1970,8.707783085862683e-10
1971,9.718235521871676e-10
1972,1.4697576905531307e-09
1973,1.5018596029513022e-09
1974,1.5188962924707538e-09
1975,1.7202462450547985e-09
1976,2.3188201953810203e-09
1977,2.6026671096079923e-09
1978,2.7956061949512598e-09
1979,2.438247718807217e-09
1980,3.115801442251812e-09
1981,3.036666188346463e-09
1982,3.220926160705874e-09
1983,3.2937498125765583e-09
1984,3.109234044832273e-09
1985,3.518037702424489e-09
1986,4.498583267802709e-09
1987,6.325726085800097e-09
1988,1.0044282738874699e-08
1989,2.1130507629355374e-08
1990,4.347876420800796e-08
1991,5.817054197062735e-08
1992,8.947760069385627e-08
1993,1.1548159051244511e-07
1994,1.4386650144209462e-07
1995,1.6869099742474907e-07
1996,1.9350198852764932e-07
1997,2.0084141587923504e-07
1998,2.3191010102761667e-07
1999,2.4652560983083406e-07
2000,2.666893753452574e-07
2001,2.7710658352069526e-07
2002,2.9267273354045234e-07
2003,2.9671538470665837e-07
2004,3.0540444332213414e-07
2005,2.976331846379513e-07
2006,2.928424673124634e-07
2007,2.8520653359009886e-07
2008,2.8416506125950036e-07
